portal_map_id,document_id,company_id,local_path,storage_status,document_portal,portal_project_id,portal_document_id,portal_category,portal_file_name,portal_drive_file_id,portal_download_route,needs_upload,source_of_truth,last_synced,sync_owner,notes
map_tax_returns,tax_returns_5_years,metro_lecrown,.local/,missing_private,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,TBD,TBD,TBD,yes,private_local,TBD,Benjamin/Jie,"City OBO and SBA-style applications may request these; never put tax contents in CSV."
map_financial_statements,financial_statements,metro_lecrown,.local/,missing_private,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,TBD,TBD,TBD,yes,private_local,TBD,Benjamin,"Create current balance sheet and P&L, then store privately and upload only where required."
map_customer_refs,customer_references,metro_lecrown,TBD,missing,lecrown_portal,metro-lecrown-certification-tracker,TBD,Deliverables,TBD,TBD,TBD,yes,local,TBD,Benjamin/Jie,"Collect references once, then reuse across City, METRO, universities, TDCJ, and proposals."
map_naics_nigp,naics_nigp_codes,metro_lecrown,TBD,missing,lecrown_portal,metro-lecrown-certification-tracker,TBD,Deliverables,TBD,TBD,TBD,yes,local,TBD,Benjamin,"Needed for SAM, CMBL, BeaconBid, Bonfire, OpenGov, Ariba, and GovSpend categories."
map_corporate_minutes,corporate_minutes,metro_lecrown,TBD,missing,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,TBD,TBD,TBD,yes,local,TBD,Benjamin/Jie,"City OBO application 6369689 mandatory attachment."
map_business_age_or_invoice_proof,business_age_or_invoice_proof,metro_lecrown,.local/,missing_private,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,TBD,TBD,TBD,yes,private_local,TBD,Benjamin/Jie,"City OBO application 6369689 mandatory attachment; store invoices/payment proof privately if used."
map_ownership_contribution_proof,ownership_contribution_proof,metro_lecrown,.local/,missing_private,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,TBD,TBD,TBD,yes,private_local,TBD,Benjamin/Jie,"City OBO application 6369689 mandatory attachment; may include bank statements or cancelled checks."
map_stock_certificates_ledger,stock_certificates_ledger,metro_lecrown,.local/,missing_private,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,TBD,TBD,TBD,yes,private_local,TBD,Benjamin/Jie,"City OBO application 6369689 mandatory attachment."
map_corporate_bylaws,corporate_bylaws,metro_lecrown,TBD,missing,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,TBD,TBD,TBD,yes,local,TBD,Benjamin/Jie,"City OBO application 6369689 mandatory attachment."
map_formation_certificate,formation_certificate,metro_lecrown,TBD,missing,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,TBD,TBD,TBD,yes,local,TBD,Benjamin,"City OBO application 6369689 mandatory attachment."
map_city_supplier_registration_proof,city_supplier_registration_proof,metro_lecrown,TBD,missing,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,TBD,TBD,TBD,yes,local,TBD,Benjamin,"City OBO application 6369689 mandatory attachment."
map_owner_identity_proof,owner_identity_proof,metro_lecrown,.local/,missing_private,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,TBD,TBD,TBD,conditional,private_local,TBD,Benjamin/Jie,"City OBO says this is mandatory if applying for MBE or WBE; store identity documents privately."
