document_id,requirement_or_buyer,requirement_type,priority,why_needed,source_or_tracker_reference
capability_statement,San Jacinto College,vendor_registration,recommended,Vendor profile and opportunity positioning,San Jacinto vendor page
naics_nigp_codes,San Jacinto College,vendor_registration,required,Category selection and bid matching,San Jacinto vendor page
metro_sbe_certificate,HISD IonWave,supplier_profile,conditional,Supporting certification evidence if IonWave profile asks for certifications,HISD purchasing page
capability_statement,HISD IonWave,vendor_registration,recommended,Vendor profile and opportunity positioning,HISD purchasing page
naics_nigp_codes,HISD IonWave,vendor_registration,required,Commodity code selections drive solicitation notifications,HISD purchasing page
metro_sbe_certificate,Spring Branch ISD,supplier_profile,conditional,Supporting certification evidence if SBISD registration asks for certifications,SBISD vendor registration page
capability_statement,Spring Branch ISD,vendor_registration,recommended,Vendor profile and opportunity positioning,SBISD purchasing page
w9,Spring Branch ISD vendor registration,vendor_registration,conditional,May be required before business opportunity,SBISD vendor booklet
eft_bank_letter,Spring Branch ISD vendor registration,payment_setup,conditional,EFT authorization may be required if onboarding proceeds,SBISD vendor booklet
certificate_of_insurance,Spring Branch ISD vendor registration,insurance,conditional,May be required before business opportunity,SBISD vendor booklet
conflict_of_interest_form,Spring Branch ISD vendor registration,disclosure,conditional,May be required before business opportunity,SBISD vendor booklet
metro_sbe_certificate,TEA Bonfire,supplier_profile,conditional,Supporting certification evidence if TEA profile or solicitation asks for certifications,TEA contracts and purchasing page
capability_statement,TEA Bonfire,vendor_registration,recommended,Vendor profile and solicitation positioning,TEA contracts and purchasing page
naics_nigp_codes,TEA Bonfire,vendor_registration,required,NIGP codes drive TEA opportunity notifications,TEA contracts and purchasing page
cmbl_profile,TEA Bonfire,state_vendor_registration,recommended,Texas buyer visibility and ESBD readiness,Certification tracker
metro_sbe_certificate,TRS PAVES,supplier_profile,conditional,Supporting certification evidence if PAVES profile or solicitation asks for certifications,TRS PAVES page
capability_statement,TRS PAVES,vendor_registration,recommended,Vendor profile and solicitation positioning,TRS PAVES page
naics_nigp_codes,TRS PAVES,vendor_registration,recommended,Profile/category matching and Texas buyer readiness,TRS PAVES page
cmbl_profile,TRS PAVES,state_vendor_registration,recommended,Texas buyer visibility and ESBD readiness,Certification tracker
capability_statement,Federal prime subcontracting targets,supplier_diversity,required,Prime supplier profile and outreach packet,data/prime-subcontracting-targets.csv
naics_nigp_codes,Federal prime subcontracting targets,supplier_diversity,required,Prime NAICS match and opportunity routing,data/prime-subcontracting-targets.csv
sam_entity_record,Federal prime subcontracting targets,federal_foundation,recommended,Federal prime supplier profiles commonly ask for UEI/SAM status,data/prime-subcontracting-targets.csv
cmbl_profile,TDCJ,bid_source,recommended,Texas opportunity visibility and vendor readiness,data/buyer-certification-requirements.csv
capability_statement,TDCJ,bid_source,recommended,Proposal and vendor profile readiness,data/buyer-certification-requirements.csv
