document_id,document_name,document_category,scope,reusable_across,typical_refresh_cycle,status,owner,current_path,sensitive,notes
texas_hub_or_vethub_proof,Texas HUB or VetHUB proof,state_certification,eligible_company,"Texas state buyers; UH; UT; TDCJ; subcontracting plans",per_certification_expiration,candidate,Benjamin,TBD,no,Only if company qualifies.
tax_returns_5_years,Federal business tax returns last 5 years,financial,company,"City OBO; 8(a); EDWOSB; SBE/DBE; lender/underwriting-style reviews",annual,missing_private,Benjamin/Jie,.local/,yes,City OBO missing list asked for 5 years.
financial_statements,Company balance sheet and profit/loss statement,financial,company,"City OBO; 8(a); SBE/DBE; vendor risk reviews; proposals",monthly_or_quarterly,missing_private,Benjamin,.local/,yes,
bank_resolution,Corporate bank resolution or authorized signer proof,financial_authority,company,"City OBO; vendor setup; payment setup; certification packets",when_bank_or_signers_change,missing_private,Benjamin,.local/,yes,
eft_bank_letter,EFT bank letter voided check or payment setup support,payment_setup,company,"UH; UT; City of Houston; METRO; TDCJ; vendor payment setup",when_bank_changes,missing_private,Benjamin,.local/,yes,Do not store full account numbers in CSV.
principal_office_proof,Lease deed utility bill or principal office proof,address_control,company,"HUBZone; City OBO; METRO SBE/DBE; Texas HUB/VetHUB; vendor setup",when_address_changes,missing_private,Benjamin,.local/,yes,
employee_address_roster,Employee address and residency roster,hubzone,company,HUBZone,quarterly_or_before_bid,missing_private,Benjamin,.local/,yes,Needed only for HUBZone.
personal_net_worth_jie,Jie Huang personal net worth statement,owner_financial,owner,"EDWOSB; 8(a); City OBO; SBE/DBE if required",per_portal_or_when_financials_change,existing,Benjamin/Jie,output/pdf/PNW_Jie_Huang_FINAL.pdf,yes,Confirm current enough before upload.
personal_net_worth_benjamin,Benjamin LaGrone personal net worth statement,owner_financial,owner,"City OBO; SBE/DBE if required based on ownership",per_portal_or_when_financials_change,existing,Benjamin,output/pdf/PNW_Benjamin_LaGrone_FINAL.pdf,yes,Confirm whether required based on ownership.
affidavit_certification_jie,Jie Huang affidavit of certification,owner_certification,owner,City of Houston OBO,per_application,existing,Benjamin/Jie,output/pdf/Affidavit_of_Certification_Jie_Huang_President.pdf,yes,
affidavit_non_interest,Affidavit of non-interest for each owner,owner_certification,owner,City of Houston OBO,per_application,missing,Benjamin/Jie,TBD,yes,Listed as missing in City OBO email.
customer_references,Customer references with contact name phone email,past_performance,company,"City OBO; METRO; UH; UT; TDCJ; proposals",quarterly,missing,Benjamin/Jie,TBD,maybe,
insurance_certificates,Certificates of insurance,risk_compliance,company,"Vendor setup; proposals; contracts; universities; city/state buyers",annual,missing_private,Benjamin,.local/,yes,
licenses_permits,Licenses permits and professional credentials,qualification,company_or_owner,"City OBO; METRO; proposals; opportunity-specific bids",when_renewed,missing,Benjamin/Jie,TBD,maybe,
equipment_vehicle_proof,Equipment vehicle or asset proof,capacity,company,"City OBO; SBE/DBE; opportunity-specific bids",when_assets_change,missing_private,Benjamin/Jie,.local/,yes,
bonding_capacity,Bonding letter or bonding capacity proof,financial_capacity,company,"Construction/infrastructure bids; City; METRO; universities",when_bonding_changes,missing_private,Benjamin,.local/,yes,
prior_certifications_denials,Prior certifications approvals denials and expiration dates,certification_history,company,"City OBO; METRO; SBE/DBE; HUB; WOSB/EDWOSB; 8(a)",when_status_changes,missing,Benjamin,TBD,maybe,
metro_sbe_certificate,Houston METRO SBE certificate proof,certification_proof,company,"METRO; City of Houston; UH; UT; TDCJ; primes",per_certification_expiration,existing_drive,Benjamin/Jie,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,maybe,Private Google Drive PDF uploaded 2026-08-22; do not paste public URLs into tracker files.
corporate_minutes,Current minutes of stockholders and board of directors meetings,governance,company,City of Houston OBO,per_application_or_when_governance_changes,missing,Benjamin/Jie,TBD,maybe,City OBO application 6369689 lists this as a mandatory attachment.
business_age_or_invoice_proof,Proof business existed six months before application date or invoice/payment proof,business_history,company,City of Houston OBO,per_application,missing_private,Benjamin/Jie,.local/,yes,City OBO application 6369689 lists this as mandatory; invoice/payment proof only applies if business is less than six months old.
ownership_contribution_proof,Documented proof of contributions used to acquire ownership,ownership_control,owner_or_company,City of Houston OBO,per_application_or_when_ownership_changes,missing_private,Benjamin/Jie,.local/,yes,City OBO asks for proof such as cancelled checks or bank statements for each owner.
stock_certificates_ledger,Corporate stock certificates and stock transfer ledger,ownership_control,company,City of Houston OBO,when_ownership_changes,missing_private,Benjamin/Jie,.local/,yes,City OBO application 6369689 lists both sides of stock certificates and transfer ledger as mandatory.
corporate_bylaws,Corporate bylaws and amendments,governance,company,"City of Houston OBO; ownership/control certifications",when_entity_changes,missing,Benjamin/Jie,TBD,maybe,City OBO application 6369689 lists bylaws and amendments as mandatory.
city_supplier_registration_proof,Proof of City of Houston Strategic Purchasing vendor or supplier registration,vendor_registration,company,City of Houston OBO,when_registration_changes,missing,Benjamin,TBD,no,City OBO application 6369689 requires registration proof or email confirmation.
owner_identity_proof,Identity or citizenship proof for each minority or woman owner,owner_identity,owner,City of Houston OBO,per_application_or_when_owner_changes,missing_private,Benjamin/Jie,.local/,yes,Conditional document is mandatory if applying for MBE or WBE certification.
