attempt_date,packet_id,buyer_id,buyer_name,portal_or_route,attempt_type,route_check_result,registration_result,blocker,next_action,evidence_reference,notes
2026-08-23,vrp-hisd-ionwave,hisd,Houston Independent School District,HISD IonWave E-Bidding registration,non_interactive_route_check,HISD purchasing page and IonWave login reachable,not_submitted,auth_required,Authenticate to HISD IonWave and complete profile after private intake review.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-spring-branch-vendor,spring_branch_isd,Spring Branch ISD,SBISD vendor registration route,non_interactive_route_check,SBISD vendor registration and purchasing pages reachable,not_submitted,route_confirmation_required,Verify current SBISD registration route with Purchasing before submitting any profile.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-katy-opengov,katy_isd,Katy Independent School District,Katy ISD OpenGov and VSS registration,non_interactive_route_check,OpenGov redirects to login; Katy registration needs account session,not_submitted,auth_required,Authenticate to OpenGov and verify prior Katy invitation before profile submission; keep VSS payment setup separate.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-tea-bonfire,tea,Texas Education Agency,TEA Euna/Bonfire supplier registration,non_interactive_route_check,TEA contracts page and Bonfire portal reachable,not_submitted,auth_required,Authenticate to TEA Bonfire and verify NIGP setup; no opportunity response without approval.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-trs-paves,trs,Teacher Retirement System of Texas,TRS PAVES vendor registration,non_interactive_route_check,TRS procurement and PAVES pages reachable,not_submitted,auth_required,Authenticate to TRS PAVES and verify vendor profile before working TRS000683 or later solicitations.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-tdcj-state-profile,tdcj,Texas Department of Criminal Justice,TDCJ and Texas state buyer readiness,non_interactive_route_check,tracked TDCJ URL returned 404 in route check,not_submitted,route_validation_required,Re-verify current TDCJ procurement URL and solicitation route before registration work.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-prime-subcontracting,prime_subcontractors,Federal prime subcontracting targets,Prime supplier diversity and small-business portals,non_interactive_route_check,generic row superseded by individual prime packet rows,not_submitted,superseded,Use individual prime packet rows for Accenture SAIC CGI Booz Allen Dell Federal and KBR.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-prime-accenture-federal,prime_accenture_federal,Accenture Federal Services LLC,Accenture federal small-business registration route,non_interactive_route_check,prime route identified from tracker; registration should wait for capability/SAM packet,not_submitted,missing_capability_sam,Complete one-page capability statement and SAM/UEI status before submitting AFS profile.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-prime-saic,prime_saic,SAIC,SAIC suppliers and small-business route,non_interactive_route_check,prime route identified from tracker; registration should wait for capability/SAM packet,not_submitted,missing_capability_sam,Complete one-page capability statement and SAM/UEI status before submitting SAIC profile.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-prime-cgi-federal,prime_cgi_federal,CGI Federal Inc.,CGI Federal supplier network and small-business route,non_interactive_route_check,prime route identified from tracker; registration should wait for capability/SAM packet,not_submitted,missing_capability_sam,Complete one-page capability statement and SAM/UEI status before joining CGI Federal supplier route.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-prime-booz-allen,prime_booz_allen,Booz Allen Hamilton Inc.,Booz Allen prospective small-business supplier database,non_interactive_route_check,prime route identified from tracker; registration should wait for capability/SAM packet,not_submitted,missing_capability_sam,Complete one-page capability statement and SAM/UEI status before submitting Booz Allen profile.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-prime-dell-federal,prime_dell_federal,Dell Federal Systems L.P.,Dell supplier diversity route needing federal-front-door validation,non_interactive_route_check,older tracker says Dell Federal route still needs validation,not_submitted,route_validation_required,Resolve Dell Federal subcontracting front door before registration or outreach.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-prime-kbr,prime_kbr,KBR Services LLC,KBR SBLO or supplier route needing validation,non_interactive_route_check,older tracker says KBR route still needs validation,not_submitted,route_validation_required,Resolve KBR SBLO or supplier route before registration or outreach.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
