buyer_id,buyer_name,requirement_name,requirement_type,applies_to_company_id,priority,status,process_summary,required_evidence_or_data,source_url,next_action,owner,due_date,notes
city_of_houston,City of Houston,OBO M/WBE or SBE certification,local_certification,eligible_company,recommended,not_started,"Complete City of Houston OBO certification requirements for applicable company and owner profile.","Affidavit; PNW; non-interest affidavits; references; 5 years tax returns; resumes; corporate bank resolution; balance sheet; licenses/permits/equipment/loan/bonding/prior certification docs as applicable",https://houston.mwdbe.com/FrontPage/VendorMain.asp,Finish missing OBO document packet,Benjamin/Jie,2026-07-03,"Missing item list captured in Gmail message 19eaa667118e12c2."
harris_county,Harris County,Harris County Bonfire supplier registration,bid_portal,all,required,staged_ready,"Register or verify supplier profile in Harris County Bonfire/Euna so Metro LeCrown can receive opportunity notifications and download solicitation documents.","Company profile; contact email; NIGP/commodity code selections; capability statement; certification evidence if requested",https://purchasing.harriscountytx.gov/,Stage Bonfire profile and NIGP codes before submitting,Benjamin/Jie,2026-08-26,"Official purchasing homepage says Bonfire manages suppliers and online bids/proposals; registration is open and free; notifications are based on selected NIGP codes."
harris_county,Harris County,METRO SBE certificate as Bonfire supplier profile support,supplier_profile,all,conditional,staged_supporting,"Use active METRO SBE proof where the Harris County Bonfire profile or a solicitation asks for certification evidence.","METRO SBE certificate proof; capability statement; NIGP codes; CMBL status if available",https://purchasing.harriscountytx.gov/Services/Online-Solicitation-Opportunities,Add METRO SBE proof to the Harris County packet without treating it as a Harris County certification,Benjamin/Jie,2026-08-26,"Certificate evidence: Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi."
harris_county,Harris County,Harris County vendor setup after award,payment_vendor_setup,selected_vendor,required_after_award,staged_supporting,"Prepare vendor setup documents only when awarded or when Harris County requests supplier setup documentation.","Vendor Information Form; signed W-9; optional ACH authorization; voided check or bank letter if ACH is chosen",https://purchasing.harriscountytx.gov/Services/Supplier-Inquiry,Keep payment setup staged and do not submit bank data without award/request confirmation,Benjamin,2026-08-27,"Harris County supplier inquiry page says vendor setup requires contacting Vendor Management and copying the Harris County point of contact."
houston_metro,Metropolitan Transit Authority of Harris County METRO,METRO procurement opportunities,bid_source,all,recommended,not_started,"Monitor current solicitations and anticipated procurement from METRO procurement opportunities page.","Saved bid search; target categories; opportunity notes",https://www.ridemetro.org/about/business-to-business/procurement-opportunities,Set weekly METRO opportunity review,Benjamin,2026-06-28,"Source Gmail thread 19e88d76bab525c8."
houston_metro,Metropolitan Transit Authority of Harris County METRO,METRO Ariba vendor registration,vendor_registration,all,required,not_started,"Register or verify vendor profile in METRO Ariba Spend Management.","Company profile; contacts; tax/vendor data; commodity categories",https://s3.ariba.com/Sourcing/Main/aw?awh=r&awssk=8Zgv3KidKouY4TkM&realm=ridemetro&dard=1,Verify whether profile already exists,Benjamin/Jie,2026-06-28,"Jie reported possible existing profile in Gmail thread 19e88d76bab525c8."
houston_metro,Metropolitan Transit Authority of Harris County METRO,METRO SBE certificate in SAP Ariba profile,supplier_diversity,all,recommended,staged_ready,"Use active METRO SBE proof and certification dates in the SAP Ariba vendor profile.","METRO SBE certificate proof; certification effective date; renewal date; NIGP codes",https://www.ridemetro.org/about/faqs/-in-category/topics/bonfire-to-sap-ariba-transition,Stage SBE certificate fields and attachment for Ariba profile review,Benjamin/Jie,2026-08-24,"Certificate evidence: Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi."
houston_metro,Metropolitan Transit Authority of Harris County METRO,METRO SBDBE certification portal,local_certification,eligible_company,recommended,in_progress,"Use METRO SBDBE Contract Compliance System for small business certification workflow.","Application number; ownership/control docs; certification packet; analyst follow-up",https://ridemetro.sbdbe.com/,Follow up on application 6659818,Benjamin/Jie,2026-06-28,"Gmail thread 19e88d76bab525c8 says application 6659818 submitted 2026-05-10 and pending processing."
houston_metro,Metropolitan Transit Authority of Harris County METRO,GovSpend small purchases,bid_source,all,recommended,not_started,"Monitor METRO small purchase opportunities through GovSpend open quote requests.","GovSpend account; saved search; commodity filters",https://app.govspend.com/quoteRequests/allOpenRequests,Verify GovSpend access and filters,Benjamin,2026-06-29,"METRO contact noted link still says under $50k although under $100k opportunities."
houston_metro,Metropolitan Transit Authority of Harris County METRO,METRO SBE business assessment,readiness_assessment,all,recommended,not_started,"Complete METRO's business assessment to review capacity for future opportunities.","Assessment answers; capability summary",https://ridemetro.qualtrics.com/jfe/form/SV_e3C1E0X9CM61Kx8,Complete assessment,Benjamin/Jie,2026-06-29,
katy_isd,Katy Independent School District,OpenGov Procurement vendor portal,vendor_registration,all,recommended,not_started,"Create or verify OpenGov Procurement vendor account for Katy ISD vendor list and project notifications.","OpenGov account; company profile; notification categories",https://procurement.opengov.com/,Verify Katy ISD OpenGov account status,Benjamin,2026-06-29,"Source Gmail messages: 19aff01707eea5b6 19b435c446d37e83 19baf83304eb1100."
katy_isd,Katy Independent School District,Katy ISD VSS payment setup,payment_vendor_setup,selected_vendor,required_after_award,staged_supporting,"Prepare VSS registration documents only when payment setup is needed.","Current IRS Form W-9; Debarment form; HB 89 and SB 252 Certification Addendum; vendor profile data",https://www.katyisd.org/purchasing/information-for-vendors,Keep payment setup staged and do not upload tax forms until requested,Benjamin/Jie,2026-08-30,"Katy says vendors must be registered in VSS to receive payment."
hcc,Houston City College / Houston Community College,HCC Bonfire bidder registration,bid_portal,all,required,staged_ready,"Register or verify bidder profile in HCC Bonfire to receive and respond to HCC opportunities.","Bonfire account; company profile; bid contact; NIGP/category selections; capability statement",https://www.hccs.edu/about-us/departments--offices/procurement-operations/,Stage profile and notification categories before submitting,Benjamin/Jie,2026-08-28,"Official HCC procurement page links Register as a Bidder."
hcc,Houston City College / Houston Community College,HCC Small Business Development Program recognition,supplier_diversity,all,conditional,staged_supporting,"Use METRO SBE proof as supporting evidence where HCC recognizes the certifying organization or opportunity profile asks for certification.","METRO SBE certificate proof; capability statement; company size evidence if requested",https://www.hccs.edu/about-us/departments--offices/procurement-operations/small-business-development-program-sbdp/,Confirm HCC recognized certification fit before claiming SBDP status,Benjamin/Jie,2026-08-28,"HCC SBDP page says small businesses must be certified by an HCC-recognized agency or organization."
lone_star_college,Lone Star College System,LSCS e-bid bidder registration,bid_portal,all,required,staged_ready,"Register or verify the LSCS web-based e-bid profile for electronic notifications and submissions.","Bidder account; company profile; commodity/category selections; capability statement",https://www.lonestar.edu/purchasing.htm,Stage bidder profile and category selections,Benjamin/Jie,2026-08-29,"LSCS says registration is free and vendors receive applicable bid notifications."
lone_star_college,Lone Star College System,iStar supplier registration,supplier_profile,all,conditional,not_started,"Complete iStar supplier registration if LSCS requires full supplier onboarding beyond bidder registration.","Company profile; supplier contact; W-9/payment data only if requested",https://www.lonestar.edu/19005.htm,Verify whether bidder registration is sufficient before entering supplier/payment data,Benjamin/Jie,2026-08-29,"LSCS FAQ says suppliers register through the iStar Vendor Portal."
san_jacinto_college,San Jacinto College,San Jacinto e-bidding registration,bid_portal,all,required,staged_ready,"Register or verify vendor profile in San Jacinto's e-bidding system to find and submit solicitations.","E-bidding account; company profile; contact email; category selections; capability statement",https://www.sanjac.edu/information-for/business-partners/doing-business-with-san-jac/,Stage profile and category selections,Benjamin/Jie,2026-08-29,"San Jacinto says vendors set up a free profile in its e-bidding system."
hisd,Houston Independent School District,HISD IonWave E-Bidding registration,bid_portal,all,required,staged_ready,"Register or verify HISD IonWave profile to respond to solicitations and receive matching notifications.","IonWave account; company profile; commodity code selections; capability statement; certification proof if requested",https://www.houstonisd.org/community-partnerships/purchasing-services,Stage IonWave profile and commodity codes before submitting,Benjamin/Jie,2026-08-30,"HISD says all vendors who wish to respond to solicitations must register in IonWave."
spring_branch_isd,Spring Branch ISD,SBISD vendor registration,vendor_registration,all,required,auth_required,"Verify the current SBISD registration route through Purchasing before creating or updating a vendor profile.","Company profile; W-9; EFT authorization if requested; CIQ; certificate of insurance if required; capability statement",https://www.springbranchisd.com/o/fs/page/vendor-registration,Verify live route with SBISD Purchasing before submitting,Benjamin/Jie,2026-08-30,"Current vendor registration page directs vendors to contact Purchasing for registration assistance."
tea,Texas Education Agency,TEA Euna/Bonfire supplier registration,bid_portal,all,required,auth_required,"Register or verify TEA Bonfire account for TEA solicitations and vendor discussions.","Bonfire account; company profile; NIGP codes; capability statement; solicitation-specific forms",https://tea.texas.gov/about-tea/agency-finances/contracts-and-purchasing/contracts-and-purchasing,Verify TEA Bonfire account and NIGP setup before drafting opportunity responses,Benjamin,2026-08-28,"TEA says NIGP codes are important because they drive bid opportunity notifications."
trs,Teacher Retirement System of Texas,TRS PAVES vendor registration,bid_portal,all,required,auth_required,"Register or verify TRS PAVES vendor profile before pursuing TRS solicitations.","PAVES account; company profile; ESBD opportunity record; capability statement; solicitation-specific response documents",https://trs.texas.gov/procurement/paves,Verify PAVES registration status before working TRS000683 or later opportunities,Benjamin,2026-08-28,"TRS says PAVES is its procurement and vendor e-system."
tdcj,Texas Department of Criminal Justice,TDCJ solicitation review,bid_source,all,opportunity_specific,not_started,"Review forwarded TDCJ Records Management System solicitation notice and identify registration/submission path before pursuing.","Solicitation notice PDF; buyer contact; submission deadline; vendor registration path",https://www.tdcj.texas.gov/divisions/bfd/bfd_contracts.html,Review attached solicitation notice from Gmail,Benjamin,2026-06-29,"Source Gmail message 19de5b09d7fbab0a from TDCJ Contracts and Procurement."
tdcj,Texas Department of Criminal Justice,METRO SBE certificate in state buyer packet,supplier_profile,all,conditional,staged_supporting,"Keep active METRO SBE proof in the TDCJ/state buyer packet while CMBL and solicitation routing are verified.","METRO SBE certificate proof; CMBL status; capability statement; solicitation-specific data",https://www.tdcj.texas.gov/divisions/bfd/bfd_contracts.html,Add SBE proof to TDCJ packet and verify whether the solicitation route asks for certifications,Benjamin,2026-08-27,"Certificate evidence: Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi."
